id;start_date;end_date;vigilador_id;objetivo_id
1;2023-01-20T02:56:43;2023-01-20T06:59:24;1;1
2;2023-01-20T07:01:40;2023-01-19T21:36:43;2;2
3;2023-01-20T05:28:22;2023-01-20T11:34:56;1;3
4;2023-01-20T10:45:55;2023-01-20T05:18:01;1;4
5;2023-01-20T05:40:35;2023-01-20T15:17:59;1;5
6;2023-01-19T20:21:54;2023-01-20T14:10:14;2;6
7;2023-01-20T13:18:57;2023-01-20T03:45:41;2;7
8;2023-01-19T21:03:25;2023-01-20T15:04:33;1;8
9;2023-01-20T00:51:13;2023-01-19T22:46:03;1;9
10;2023-01-20T06:04:22;2023-01-20T13:05:11;2;10
